House_Size,House_Price
1174,500619
1886,293900
1455,491283
1116,667032
1002,405653
2042,610180
2830,153105
833,547986
1544,311183
2754,692715
3201,676967
2028,198724
2133,345374
1159,377812
1442,165311
2661,381444
2099,207168
2508,332706
1484,296981
2089,400737
1528,417913
1344,394522
3375,621523
2069,564886
1453,331363
2404,194577
2368,546371
3147,421662
2001,329466
3022,261706
1520,506001
1100,194556
2744,340083
986,163130
2678,487905
2830,367650
2245,358363
3266,268541
3472,575649
948,209467
2677,617026
1452,542582
3031,697823
1588,300986
2065,401879
1677,480193
1462,273189
1896,276987
1353,541548
1367,388368
1548,229685
1416,489513
3429,399319
2365,154146
2084,433448
1929,211574
3305,397227
2364,668029
1464,383826
2580,461078
2999,556405
3499,588442
1558,265693
2617,319145
2325,494824
1464,385929
1665,415407
935,563453
3081,156986
3468,565818
2129,602241
1171,176423
2850,308251
2277,588384
3023,187033
3010,445817
1602,268256
1926,362760
2821,668511
1081,252892
1191,690324
2284,616663
2758,247886
1373,424485
3468,681423
834,551295
2639,182286
2194,448497
3194,491101
2581,293514
1690,690278
2022,622849
2735,521398
2440,182983
3073,211010
1082,421433
1964,205989
1591,548241
1649,347981
1715,635677
3422,510819
3298,521102
1683,623304
3187,593188
1475,230849
2607,491976
1767,271637
2454,249865
2047,428552
2565,566038
1181,605037
2641,291372
3049,226468
2639,250844
2904,207394
2924,698338
1431,662068
1501,222441
2249,314739
807,632666
2744,472066
987,613576
2687,314023
1049,218293
1049,685049
842,251244
2040,268411
3385,627667
2972,249547
3456,555150
2934,215384
2501,613892
2773,151438
2647,222890
964,229011
3044,269746
3406,362949
1165,670520
2769,507961
3233,525476
3424,289061
2941,584232
2103,286701
1567,359782
1476,689123
1033,469309
1507,329641
2983,488378
1136,365644
2610,268410
3247,628473
985,429781
1031,193174
3088,558839
1132,583893
845,633980
1438,267818
3335,173237
1772,156647
2143,348188
1692,321177
1369,334902
1326,274132
2084,286156
2176,654591
3229,475102
1829,326831
1320,583598
2939,540993
3247,583765
1398,198745
1334,269053
1312,439005
1702,328685
2640,534461
1514,528588
3047,338188
2806,352571
2731,325019
1330,194389
2454,462018
1586,634877
2037,444336
3450,232755
3220,609039
3464,420420
1204,673381
2722,640677
1344,623388
847,193513
3489,465594
2988,496212
3308,641106
1463,280481
2799,647226
2628,331454
2476,275566
933,219945
1013,324831
1953,266306
3334,384140
3302,607716
3178,465154
1593,597145
1973,646282
1344,656688
1336,500652
1533,631457
1450,623250
3036,310069
3318,258813
1385,518181
2149,254147
1704,348824
3410,672918
1236,323637
2200,161200
3103,305187
906,322240
2129,153930
2337,396298
1702,447563
2374,630657
2377,573133
1920,249452
2743,688821
3201,536965
3149,263288
3087,456846
858,567941
3173,687862
2057,302104
895,360486
1341,237228
1488,478030
3184,321640
3323,635414
1792,606031
1201,530480
938,600774
1979,159045
2863,678284
3379,288750
1743,572359
2703,356333
818,235004
1856,447062
3205,556860
1925,205826
3433,421737
1493,557795
2573,249694
1857,597436
800,413268
2358,411194
2664,482659
1792,206983
2495,173575
2645,270972
2711,328287
901,319028
2174,459419
1885,180358
2538,427766
1651,393130
1478,689899
2269,330715
2067,436978
3451,344117
1644,560257
925,525738
2409,339258
2934,265654
2545,209256
1180,604286
1475,595225
2832,403721
3169,325910
2408,258043
1077,313101
3362,363702
1533,444005
2469,445766
2330,221080
1536,499674
3197,281478
1901,487155
2360,587871
3183,392287
1858,218485
982,699850
2375,496156
2262,485346
1121,287347
1067,174114
960,657842
941,381405
2842,379186
1123,589013
3357,208084
2225,422861
1182,554872
2604,662104
3033,563592
3345,334238
2953,598072
1352,257608
2392,482597
1523,472260
1274,530311
3491,549851
2804,417291
3426,650162
1072,636972
2595,220184
2514,368038
2364,258606
3491,359081
3226,482503
2053,236670
2648,321797
2466,428036
3474,306844
3159,633163
3300,305527
1464,608921
1442,245646
1947,404868
1438,267588
2169,523428
1720,649674
1665,436430
2427,578599
2734,599252
3255,515429
2151,432185
3480,162068
2338,211189
1557,492271
2653,577739
2303,588032
3224,623442
929,283550
1521,377719
1592,306832
928,310883
1168,280583
2350,288295
953,200266
1721,570006
2264,159329
3031,250521
2151,296098
2982,349113
2181,255730
2029,263453
1498,554859
1316,278738
805,174017
2889,350658
1808,218441
2631,416510
2119,455891
1221,589894
1101,322202
2978,475364
1108,360376
2233,644283
3081,512655
1459,231890
1798,439975
2057,525059
2323,397359
2772,222680
3028,403867
3216,418244
2144,698099
1601,692172
881,332493
2096,558241
3334,347034
3010,197783
2138,346812
2703,599913
3098,459213
1212,608321
1271,341124
2998,266075
2498,309141
1535,417632
2130,506280
3336,426378
1618,440781
1897,542851
2880,423887
3200,665799
1273,386629
2837,328307
828,507972
2374,172437
2393,360355
3326,428618
2353,611440
1785,557636
2816,500594
1370,250983
1587,268791
2355,162668
1618,595722
3349,194823
1651,244570
925,184207
2597,213578
2095,604038
3208,608736
2306,291752
3221,661835
1850,394403
3171,311731
3406,403186
1726,297934
2434,662670
2820,566778
1395,420129
3276,401753
3314,217696
3453,450143
2398,431927
1245,601540
3180,269067
1067,489844
2395,506729
2451,666228
887,609411
2918,392349
900,581830
968,350967
1126,397435
3302,564423
1044,179240
1451,427175
3298,601353
1836,657975
2028,274580
2889,182871
884,178637
2190,576865
1201,560209
1013,293252
3245,205068
2810,585589
2591,575243
2153,208264
1725,378457
2521,201790
2864,515061
1432,497940
2378,324926
2796,264005
1979,247938
978,469662
1453,493771
2384,417560
1136,556479
1704,342376
1271,305533
1983,559666
1815,486390
2062,322510
2908,463087
2872,172856
1043,300764
3288,252228
2730,225859
1519,572966
1815,257723
1056,659659
3439,293621
2851,476335
3033,184231
2496,384352
1673,567360
2221,209538
2972,157567
2648,671087
1813,164737
2271,481721
2539,421829
1459,187425
2903,393513
1159,211591
2905,319884
3034,368390
2308,451426
1964,531617
1108,660914
1227,596923
2470,388772
2382,432002
1222,344636
816,521734
2558,697420
2164,416895
1644,207230
2075,457260
3012,371895
2420,432732
1347,318064
1376,699740
2024,503513
3295,381872
2288,678527
1744,505602
3073,624026
1618,640809
2870,264087
1402,524521
2828,590101
1348,392798
1098,630428
3385,522280
2205,484046
3004,649034
2002,376639
2623,539743
1116,651581
2207,671876
2919,482030
2351,669184
1588,619101
2998,194243
1662,604508
2639,389748
1010,409621
1507,280987
1135,576796
3444,312703
1035,202593
882,698900
2732,354646
2393,532338
2541,210455
3093,568214
2361,538829
1659,248735
2539,698766
3418,686145
2066,609243
1855,317017
1713,354604
1108,657015
2082,551779
923,466540
1375,641187
1396,463682
2113,237607
2288,375465
1495,477508
2907,362765
3423,399684
1209,309762
2551,381417
2443,655981
1217,383002
3088,549341
1336,661403
2350,654352
2438,282129
2279,523999
1876,251757
1893,178298
1910,271880
2037,450298
2439,249384
2886,376519
3467,273954
2070,298004
3219,487788
2867,403496
1025,489901
2957,423981
1503,537743
2102,225323
2634,551135
2224,262340
3225,460658
1839,367039
3130,320941
1673,594800
2469,253832
1740,594538
2327,242686
2362,168021
3237,265702
2042,461390
3189,454713
1093,479570
3311,324686
898,156532
2679,190167
2016,497685
1098,245408
837,394198
1182,214015
1793,193254
1194,415134
3274,494803
1807,544015
1424,558698
2005,605563
3395,560843
2204,524289
2141,669802
2763,259337
2092,223986
933,524671
1854,639852
3253,444565
1242,397083
2856,415219
2091,226230
1722,625761
910,307379
1736,539677
2882,594829
2749,429268
3266,551485
2025,181018
2488,599867
2367,642818
2324,661112
1398,196514
1400,695485
3110,540707
2461,317880
2290,325361
2314,271572
2587,673632
2166,225999
1262,323360
959,479481
2562,454301
1173,505776
2559,564505
3140,181076
2712,462671
1547,542176
2406,301263
1059,650148
2548,225601
3033,167341
2772,460729
2009,519517
1417,444198
1996,379995
2721,414808
1176,180976
1209,179305
1323,170202
1917,441822
1996,473857
2703,552228
3303,582016
1938,268571
2482,612244
939,434859
1389,588175
943,403514
1909,699856
1834,532007
2709,416604
2235,301176
1893,534424
3366,181923
1424,295914
2582,357635
1070,180289
1541,588154
2792,251114
3484,207287
2328,419455
1159,574361
2163,641484
3085,287188
2953,256601
1748,200433
3456,391621
3370,244394
839,679508
2027,337970
3307,172491
3349,226099
3250,695645
1374,512843
1540,382699
1138,441551
927,158806
1259,339122
3354,353800
1653,375572
2359,278353
2532,556216
2099,362507
1877,253043
1928,652971
1725,155086
1337,181132
1113,648293
883,494545
2785,473159
1171,368141
3083,368033
1642,600697
1632,633592
925,172706
1127,582618
1064,319939
1810,645350
3437,347268
1133,559535
865,335020
2180,369383
2364,277325
906,655422
1398,683049
2021,250546
3058,182326
3196,472441
2483,406126
2979,683831
2525,593332
1145,644102
2300,629445
2423,570575
2094,435884
3015,492718
2070,174359
1489,376944
2139,468306
1526,553612
2890,593972
825,559441
1308,416228
947,368831
3114,303038
3117,413226
2567,226571
922,243354
3103,409132
1924,617031
1074,286080
2272,578045
2527,169410
3317,248058
2077,198475
1581,241076
3220,376837
3377,364178
1490,212349
2685,158867
2752,209562
3400,350133
2280,367866
1902,469576
3269,467976
1345,503233
3029,262778
1339,285383
2511,620460
2403,297396
1188,541948
1198,675489
843,321409
1725,427256
2210,653485
2178,261382
2297,452785
1105,283865
2264,253869
2639,358169
1659,616700
2515,666353
2668,194225
2316,523562
2910,354776
2209,226549
3420,299610
2305,695307
2301,529329
2372,442035
1957,491806
3455,378604
1675,300165
1211,309608
3213,636611
2785,352864
1381,446121
2080,445460
2613,221194
2485,281458
1225,537240
3468,154724
2369,227072
2278,370984
3482,524410
2893,406437
1089,308371
1432,472891
2800,210950
3267,529523
2619,561059
3465,208661
1906,478359
1283,587042
801,574975
1382,427492
1762,317752
1701,203800
1336,337225
1808,465087
2912,259571
3490,308943
2355,201783
3491,289120
2274,170713
2540,378087
1643,368446
1469,330821
3215,678666
3311,541058
3353,222410
2543,375138
1988,275419
1024,549375
992,481605
3163,264217
1346,525203
3000,567664
2504,354473
2141,627071
1036,341383
2768,441741
1495,397560
1716,165113
2805,435246
2941,208521
1612,502514
812,371088
2298,434991
1891,672777
1350,640686
1780,434813
870,322672
1340,178407
3479,377687
2423,304075
2663,429968
2199,351685
1497,334624
1889,424442
1148,219136
1336,310756
3093,572406
1248,230049
1407,155385
1916,359324
2328,477275
1682,581659
872,675737
2813,524464
1943,305052
2829,267934
847,263299
1248,413263
937,524726
1256,533041
1068,256521
2835,228797
2029,492205
3125,613872
3133,306035
2241,183834
1124,683799
3405,593336
3299,222182
1592,617177
2531,435875
3156,538337
2747,594860
904,392525
1923,472494
1770,489319
1329,181318
3291,613549
2517,322330
2551,452067
2498,367971
1032,262594
1984,430520
1293,182174
3485,423495
3319,256506
956,346103
1992,194938
3217,435036
2791,640469
849,335526
1011,164399
2665,356427
3134,364232
3173,249843
2972,691123
2444,176605
3466,567303
1719,206992
2600,366798
934,419092
1519,371523
2271,383552
1090,697533
2699,474300
1832,458760
1017,232210
1362,494534
2276,432015
1991,544523
1823,562557
1365,245047
3279,268669
1360,666661
1956,585609
2713,477815
1507,276729
3392,607788
1586,519969
808,174743
2286,676482
2081,265100
1873,695454
2990,215979
1705,500007
2250,489016
2825,359881
2853,559174
2705,357133
1344,679048
3019,221944
3204,422357
3469,677423
2824,449837
3219,681835
1831,227988
2991,413270
943,486305
1554,442081
3429,282090
2960,447542
1844,310270
1938,595887
1107,323426
1366,289924
2979,692971
1869,216719
2653,684382
2531,523939
3308,259147
2964,549767
1389,283045
1334,430219
3184,641340
2722,248919
2057,190321
1948,257258
2137,695142
1590,293269
2573,561956
1236,317587
3336,328149
971,331761
1669,391394
2881,295663
988,512163
2664,385947
3095,650746
1564,169969
1631,524599
2569,338013
824,280560
1469,298512
1451,350803
2053,169497
891,518872
2126,399421
1963,227024
3358,403198
1496,579779
1944,207750
2451,326841
1406,304924
2224,606102
1400,635894
3135,470865
1290,245912
3328,684643
1330,318740
2845,243886
1098,608509
1344,318084
3308,624928
1919,557005
2482,376010
1981,482449
1586,357557
2363,230673
887,267118
1267,199985
1686,574572
1553,657695
847,243441
1113,592188
2451,617361
1357,607732
2226,204800
2534,320354
1747,270995
2652,686760
2647,647553
3466,603434
2402,543550
3465,639564
2014,184521
3038,460144
3178,382213
3086,537819
1196,584357
3081,526792
1894,560364
1541,584535
1169,253652
1071,661418
2070,346338
1336,443642
3073,358836
1941,374616
2646,444300
2568,347285
1867,293906
949,384293
1015,381362
1620,629923
3193,252092
2302,488543
1282,424368
3481,259516
3460,233071
3076,494363
1201,560941
1802,251514
986,210067
3093,229771
1765,677700
2464,190389
1102,527008
1417,237334
2254,377450
3188,604829
1532,631106
1604,240747
2598,256980
2302,598244
2062,309050
2195,316469
2507,358977
2971,410848
3111,409872
1232,425436
1680,584225
1077,210293
1641,346550
1705,327098
1262,685861
1546,626574
1473,571196
1513,530365
800,234890
1861,424933
1011,206083
1178,253983
2405,688713
3236,421706
1106,299576
1003,335509
2870,606480
3481,518844
1897,336437
1277,634722
1409,580932
2073,339370
1084,197607
945,688734
1813,600308
2850,457797
2097,360550
3274,401944
3106,180246
1619,312212
1846,306365
1298,267427
1873,319873
2179,568922
1383,526324
1838,232389
2144,473390
1119,300163
901,355794
1741,412556
2961,384651
2356,479381
2661,594743
3208,372047
1879,389491
2718,368780
1222,339230
2010,262512
1876,551731
3451,261103
2064,554478
1537,683539
2071,167079
2168,599861
1110,587661
1306,459750
2921,658795
2846,486162
822,259437
2286,355574
1376,508650
2497,526772
853,654328
1607,494507
1169,189323
3409,156386
2497,161173
2299,153914
2017,436369
3148,400367
3403,399534
2263,451576
1731,411583
896,412756
3244,541337
1428,492633
2843,264286
1213,380692
836,412660
2926,525917
1464,609069
2502,293879
2027,315597
1809,655432
1985,452660
2317,650155
1963,471532
2130,553847
1019,288497
2597,477194
1682,332913
3494,317744
2218,296441
1361,315642
2424,588395
3011,699422
2361,570465
2115,280641
2425,497095
949,630867
1113,378046
814,299006
2146,335554
1414,152273
2939,668910
2620,187306
1137,519202
3010,608238
1399,469218
1369,502103
974,480970
2407,409452
1170,313020
3130,450354
2037,682613
3011,391207
1566,444360
2475,317530
1013,351955
1537,540131
863,207141
2765,282060
2736,207071
1154,323677
1167,616135
3239,656729
1745,448932
2183,519656
3473,521389
3325,197624
2646,228755
1752,230538
1287,227042
1539,194257
3396,457003
1954,222032
2785,208083
2761,411324
1314,162402
2582,235027
977,257404
3390,427076
1156,464186
3407,175826
3202,311861
2515,538792
1441,275087
3116,653253
2002,677992
2934,397495
1117,630803
2459,509986
2333,332192
2699,434940
1171,504836
2385,618805
901,589134
999,293861
2919,480838
1800,640524
2697,394955
3281,494802
2914,156226
1316,456068
1301,265627
3333,587604
1057,413067
1111,600204
2719,320223
2421,200988
1058,222288
2688,185907
3429,484034
1601,445127
1887,605188
2191,402047
2892,532712
1446,616621
3414,292270
1076,178706
1526,310818
2318,300218
2407,503480
862,652451
1493,171956
2951,693198
2217,482205
1315,680914
1925,466357
1505,520631
1567,424825
2036,529416
3350,672059
3035,306464
1469,405557
3118,331314
933,288939
2287,356361
3296,357587
2307,329350
2706,331863
3139,637777
3304,384545
2232,668190
2988,334370
1183,444789
1322,674886
2590,235268
3091,207534
1571,289577
1858,661569
1636,414629
1465,436205
2830,474102
1542,470437
3469,662468
2714,661189
3298,423454
3098,462477
2962,638027
2968,256950
2986,461378
3400,595567
3390,448417
1070,687085
2383,179351
1910,689023
2236,460786
2340,584382
2828,688197
3395,238329
3185,655559
1851,611468
3112,261520
2677,411550
2713,272230
2536,611256
1394,242032
2956,472213
1624,673551
1158,634302
2472,419737
3191,384414
1322,268332
1822,523882
1648,670757
2397,637058
917,371566
3185,687187
2966,598562
2975,468490
1048,215031
2179,691146
3360,462902
3342,281376
1769,224872
1516,205155
1049,645587
2438,441808
3036,196707
2063,369672
3163,585432
1163,434736
3059,618212
2920,564229
2518,157144
3150,414612
2869,665779
1266,262530
1077,528410
2672,561505
2548,421560
1958,664741
3492,353008
1319,552212
2412,356998
1559,262326
905,453688
1698,398767
3087,522081
2835,491030
2916,357778
3375,212452
1919,453390
1701,255491
1592,219059
1318,646320
1048,323768
3023,347906
3311,204799
1166,297943
3070,398770
2351,507665
3201,250192
3264,448564
1096,312244
1118,193703
1196,606690
2641,565517
1045,668823
1799,546270
1473,476464
2576,450183
1230,296923
966,290693
2384,220836
1814,669231
3186,366477
1197,439107
2806,642910
1625,635496
1798,551626
884,328759
2893,595937
2174,301207
1876,554640
1009,252233
2236,339201
2948,277002
1957,540270
1002,637613
2575,685373
846,151406
1575,461763
1923,390726
3127,277268
1155,317421
1021,212325
2535,518903
3444,273013
978,188066
1763,445031
3436,221456
2386,189474
1070,174538
1062,235582
2815,374910
2173,518611
2944,235462
3390,254828
1025,644533
2564,620314
1587,300838
3003,478879
2754,517924
2500,398012
3234,568009
2339,599096
1975,266741
2801,369013
3392,314208
2190,564022
1678,627958
850,561951
1426,439999
1479,678342
2055,211022
2914,442616
1814,206387
1491,423086
1586,347465
2517,173228
2560,375106
1363,228569
1690,609003
3354,614577
1288,540203
3250,488729
1518,382458
1113,265926
876,626155
3271,416556
2148,269137
3062,422050
2497,496777
1138,375196
831,337849
965,676422
2846,678923
2540,463030
1338,178480
1456,504977
2249,233158
3266,434331
1356,694208
3474,247223
2143,576571
1889,258983
2299,287330
990,588962
1959,567799
2807,263520
1472,403074
2705,295828
1791,670607
2760,405878
2544,504156
2831,505438
3143,288174
1507,668692
1926,535896
2045,641614
2192,195153
2620,254811
2911,501827
2378,285755
1616,286227
2567,160474
1697,398150
1244,608802
2508,620586
3103,513979
855,604696
2052,263037
3393,523554
2382,642644
1503,370983
2641,655523
955,616737
1986,669676
2010,505333
2879,283830
3241,454598
3283,259003
3020,184986
1798,214219
959,415412
3201,615405
1243,290408
3396,214852
2011,493766
2178,487999
2926,503973
2522,556501
2461,330705
2409,409838
2618,265528
2650,465808
2373,534726
3430,411548
1786,257678
3194,285593
1183,534325
3005,698692
1170,371651
994,249037
3202,638060
921,273433
3257,654750
3078,518014
3300,308318
3207,200523
2058,151278
1811,396350
2124,453358
1510,626728
2138,424041
915,189391
1051,308630
1418,299842
1035,206859
1673,621254
2225,469122
2808,686237
2249,211947
2351,410191
1550,462235
2818,670686
2974,471982
1002,359795
1485,606489
3220,546098
1571,239704
2602,673182
2523,562110
1337,175323
3199,580374
2826,334000
1785,418702
1306,486334
1187,443764
3036,248298
1492,209325
2688,413684
3031,361445
1207,419951
1838,326465
2536,571009
912,270248
2480,402310
2913,596606
2531,233336
2835,338212
3111,162159
2445,638935
2163,500868
2311,636115
2259,358493
972,462794
3138,573160
3122,671128
3105,547741
1728,634417
2557,232139
1425,418051
3356,190880
906,204312
2301,658546
2087,341009
2886,534334
1277,432948
3241,201826
3136,199553
1678,281181
2545,647982
1031,334423
2494,193466
2372,301926
1739,674223
2831,330731
1658,216850
3164,354952
2166,465740
1008,594675
3224,668877
1007,577714
2569,576210
2242,278986
1813,548836
1851,542362
1669,253571
1469,283634
2868,509700
2151,249216
2990,467414
1042,561995
2358,540604
3052,562536
910,199640
1580,569340
1372,342810
2325,692692
2227,658015
3369,428510
1814,566871
2219,617379
2316,597051
3229,445370
2862,561028
2155,188885
2895,433590
2902,186753
3050,666768
3198,268327
1663,605930
2408,236694
3002,198851
1903,381304
2533,247300
3089,514029
3096,493875
1943,502945
2526,262083
1744,583753
2760,225280
1603,453395
2715,558221
1135,477948
2650,280729
2389,580400
1409,252936
2035,642733
3236,569107
3149,150207
843,595460
1602,190173
3030,283719
1882,646827
1165,536029
922,222828
3467,243527
3231,421671
1210,163750
2267,302683
3099,494267
3043,641879
2528,335341
2313,610696
3143,413464
3310,368200
2602,195342
2687,399094
2049,345824
2536,276247
2019,569013
814,440133
2810,215784
2317,477567
2997,526453
2486,613312
2873,569100
3387,318627
1431,524898
1178,612494
1051,517548
1181,496537
3490,465139
1797,435681
1378,186641
3101,299175
2932,364641
2270,528216
3031,518666
1801,578017
2507,570149
1006,290537
3372,224363
2960,524630
2097,250994
2279,556048
825,551996
974,698329
3228,638065
3385,434360
2641,518367
1240,233278
3393,242878
2650,170205
2309,425068
3041,511548
3430,410128
1836,266485
979,231335
3348,332598
2149,655154
1906,188108
2612,421350
2969,564636
2262,638617
1749,668403
1236,546259
1032,568458
2853,258746
2199,436809
1944,152246
1472,570734
2109,619655
911,353236
3225,638758
1746,267186
2004,514825
3058,580302
2823,679503
1727,232860
3319,421499
2210,476829
1260,625157
3372,369069
2888,211506
2578,554664
959,182884
1628,667184
2665,522487
850,686584
2920,239170
1714,384998
1778,546655
2838,150527
1135,614424
2188,174038
1395,584895
1650,171704
1416,277876
2753,400295
1234,601931
1589,310289
1465,596717
3159,255584
3455,417878
2398,448868
2855,342468
2208,516499
2819,407943
3433,196036
1693,280637
894,644098
2270,690001
1501,307615
3116,525974
1690,287331
2116,633071
2036,355630
1761,510893
2599,155233
3297,246256
1946,214483
1714,599570
884,607565
1169,639683
1386,159138
2350,333053
1795,323647
2283,434393
3005,308443
3093,353936
956,311841
1328,309187
2663,590331
1018,666266
1609,683412
3268,380766
2324,181626
3043,614186
2579,395801
1741,697600
2821,536152
1366,411256
973,425308
2254,497474
1034,608632
882,474858
2115,273189
801,524116
1208,410999
3244,437201
2627,475267
1808,494331
838,303171
3091,163420
2107,203298
1815,619331
3291,531389
3012,336450
1389,590497
947,350147
2003,686220
3320,587015
1674,201395
2652,267779
1476,375165
3364,636816
1247,272652
3061,490160
1261,652138
2026,583719
3026,612647
2096,475748
1481,191978
989,673545
3341,423779
2202,661743
1810,666217
3044,604028
2025,310315
3330,345520
1467,329711
2594,685027
2213,190037
1157,589679
1212,606039
2297,383010
987,157052
2307,311402
1102,319785
3278,621886
3114,483223
3442,312071
1666,303714
2006,551095
1041,566882
1226,553775
1864,598358
3175,551340
2359,200113
2048,579601
1135,156115
2458,359900
3349,610729
2954,214725
2643,619419
2889,284769
997,301963
3334,608632
2709,437254
1460,253808
996,640651
2103,311744
1988,289974
2530,309390
2969,646582
1259,446620
3012,356679
3362,326647
3249,530673
2354,547566
2755,677999
2414,192636
2742,229227
1807,536434
2414,338776
2587,694122
2611,432164
2802,692514
1352,176313
1517,351118
2863,514002
954,316023
1544,669292
949,445863
3433,162592
2475,583067
1084,584791
1662,155021
1290,174310
3469,535575
955,345194
1217,442751
2338,164405
2030,595977
2716,555555
1475,400870
1435,151088
1509,414027
2142,203715
1011,509108
2295,279848
1020,431717
1946,295592
3303,268929
1999,384114
3102,425949
2035,244611
903,546391
1443,380678
996,211503
2678,236001
1627,690610
2906,508784
1501,602409
1837,360099
1400,632493
2132,218236
3248,414597
1051,193904
1033,645824
1602,270241
3399,376981
2024,300009
1493,355348
2713,491773
1715,575002
2299,460383
2831,614841
2838,200679
2947,454338
2341,360942
2117,268206
1025,172468
1980,294419
1967,407789
3039,514378
1956,609530
1282,503205
1006,412078
2805,251933
3489,478843
3077,209238
865,183939
3396,548992
2359,584787
3495,194378
3268,262093
3223,462724
1435,454110
3171,157999
3296,537802
3305,416001
884,228009
1201,274166
3477,653019
2647,659482
2176,546078
1281,464999
922,362461
900,285287
2546,307765
1336,164592
3104,399737
1837,639219
1141,287225
1445,332795
2076,325423
1251,316526
3405,684250
890,524021
3019,244742
2855,268824
1298,685627
1811,422883
1383,473609
2765,470016
3350,430488
2094,569290
3219,242294
1692,383960
3081,480609
3185,550174
3399,338456
2890,473590
2181,532326
2896,699754
2139,678763
2857,170709
3280,393905
3177,493663
862,550656
913,433677
2531,378745
3197,245778
2884,680842
3378,537049
2321,584087
1231,287265
2264,449981
1879,207701
2153,205426
1347,422105
2227,547883
2618,695279
1687,563121
2517,634364
1599,504505
3215,673163
1867,512817
3451,394398
3097,410177
1830,295685
2725,201780
2757,634709
2484,506858
2689,237981
1162,345227
2821,501807
1786,588318
1529,687375
2624,673012
821,307320
2917,425830
2107,372701
1422,168164
1881,265848
915,488578
3062,551778
1726,267090
1809,430346
2396,320155
3374,221364
3324,299179
3306,356501
1593,204325
2918,258691
1224,640933
2415,479166
3402,496409
3300,682600
3288,382642
2218,303732
1434,358492
1766,261694
1617,318039
1466,247566
2711,167569
3278,165937
2053,179955
2864,333116
2053,160932
1189,433880
3042,468264
1918,501003
3014,485137
1862,434805
1667,415022
3457,489487
973,270204
2310,479700
1283,586800
2011,303074
3185,405466
2365,449904
2345,487080
2741,596295
3079,671585
1596,448703
3142,429914
3112,238565
3159,261565
1920,327886
2111,218550
1157,158342
1852,621086
2315,677902
2610,566491
1885,233409
3293,436717
1617,233850
3096,586327
2107,313689
1816,668675
3428,388185
3036,540467
1637,602984
2973,373740
1582,339747
3246,389872
2553,596940
1363,293112
1173,411810
2423,613142
2945,199936
1649,348920
3105,328983
1037,457590
1790,353937
3094,325289
2724,165397
2327,599601
