title,review,rating
Revolutionary Conversational AI Companion!,"I don’t typically write review but this official app from OpenAI has been shockingly good. For example, paragraph below is what ChatGPT generated for its own review:
ChatGPT has completely transformed the way I engage with my iOS device. As someone who values meaningful conversations, this app has exceeded my expectations. The natural language processing capabilities are astounding, making every interaction feel truly human-like. From answering complex queries to offering creative suggestions, ChatGPT has become my go-to language companion. Whether I need assistance with tasks or simply want a friendly chat, ChatGPT consistently delivers an immersive and satisfying conversational experience. It’s like having a brilliant AI friend in my pocket! Highly recommended for anyone seeking intelligent and engaging conversations.",5
The Real deal,"If you’re looking for ChatGpt then this is the real deal! Do not be misled by the multiple AI chatbots in the store and some that claim Gpt as an interface. 

If you want GPT 4 then there is a premium plan with access. The premium plan is worth it! (Cheaper in some cases than many of these so called ChatGPT apps that are nothing more than a money grift)

The IOS version work great on my iPhone 14 Pro Max. You can also chat with GPT at your desktop!",5
Please come back,I have found this very helpful. Please come back!,5
"Will use daily, if not hourly!","All the amazing capabilities of AI, at a finger’s reach. 

I personally love the subtle haptic vibrations, they give you cues on amount and length of answers as you try to catch up reading them.

So long Google… and thanks for all the fish.",5
Finally!,I’m glad OPENAI finally made this app. Now the fake imposter apps can disappear.,5
I can't use it,Email missing!,5
"Swift, Haptically Engaging, and Fair-Priced: A Superior App Experience!","I am thrilled to share my experiences with this fantastic application. Immediately striking is its wonderful user interface; it is aesthetically pleasing, intuitive, and effortless to navigate, thereby offering a sublime user experience.

One aspect that deserves special mention is the application's use of haptic feedback. As the bot types, subtle vibrations create a tactile engagement that enhances the overall interaction. This thoughtful feature brings a refreshing, immersive layer to the app experience, truly leveraging the capabilities of the iPhone's haptic engine. It's a delightful touch that sets this app apart and one that I wish more developers would consider incorporating into their designs.

Equally impressive is the app's stellar performance, marked by its extraordinary speed. The swift response times and seamless operation make using the app a breeze, keeping any potential frustrations at bay.

Moreover, I appreciate the developers' commitment to fair pricing. Despite Apple taking a 30% cut from subscription fees, the developers have chosen not to transfer this cost onto us, the users. This decision underscores their dedication to affordability and their respect for user satisfaction.",5
Sign in doesn’t work,"The website for chatgpt works perfectly fine for me, and I know the password because it is saved in my phone, but when I try and sign in it says wrong email or password, and when I say I forgot my password it says my account already exists so I can’t log into the app",2
Finally,It is good to know there is first party support for ChatGPT when I am on the go. I am so excited :). The wait was well worth it.,5
Not optimized for IPad,This app on iPad only uses 30% of screen and it is extremely annoying to use. Please fix gigantic bug and optimize for iPad so that its text size is bigger and the app actually uses the entire screen.,1
For me the website still outperforms the dedicated app,"They fixed some stuff like naming conversations so I’ll increase two stars, but I still like the layout of the website better. Trxt is too big causing too much scrolling. Hard to get to the history button at the top of the screen.",3
Easy to use,"It’s simple and easy to use, it’s similar yo the website version in many ways with one noticeable exception. You can’t edit the prompts sent afterwards. While it’s not a total dealbreaker to most it is something I like being able to do in cases where the AI misunderstands what I initially wrote and I hope they find a way to add it to the app version as well soon.",4
点赞初版，期待更新,很惊讶突然上架，语音输入非常适合移动端使用，期待加入内容分享到其他应用，并开启订阅解锁GPT4。--Jeff.Z,5
wo shi shou ping ma ？,niu bi ke la si ！666,5
(GPT Plus user) Request failed. Please try again later.,"Basically every time I use the app, I get this message. Essentially unusable. Infuriating, especially as a GPT Plus subscriber. Giving two stars because the desktop version works great!  Will likely uninstall soon.",2
It’s fantastic.,"Holy cow! This chatgpt app is actually… good. Like I wouldn’t expect it to be but it just simply is. The haptic feedback is so delightful. Great job! I’ve been using it on a daily basis, 3.5 responses are okay so I mostly use 4.0. Both give responses extremely fast.",5
Amazing,Great,5
Best chat bot I’ve seen,"Literally every other mobile AI chat bot has a max word limit or some sort of premium but this one is completely free that I’ve noticed so far and that’s the best thing about it, I strongly recommend downloading if your looking for a good, free AI chat bot",5
Amazing and useful.,Great application for productivity and enhancing creativity.,5
3.5 or 4 ?,This is gpt-3.5  or gpt-4 ?,5
Love native app and haptic feedback,"Love having a native app for ChatGPT, and particularly appreciate the haptic feedback. I wish it was easier to start a new chat, perhaps by swiping to the left or right.",5
Not the GPT-4 model,"I chose the GPT-4 model, but when I asked what generation it was, it said it was GPT-3.",3
Doesn’t load 99% of the time I ask anything,It’s just stuck on logo and nothing happens,2
I can’t log in,I can’t log in,3
Da Best,This is the best evvvaaaaaa get pro,5
1,good,5
Maybe A.I Uprising Ain’t A Bad Idea,Just saying,5
very quick,faster then web,5
A much-needed app to wipe out all the fake ones,Completely free. As powerful as the PC version. Highly recommended.,5
开启新时代,见证历史了,5
"Unable to use, keep reporting errors","ChatGPT keeps showing the error code ""cf_details"":""this request is invaild"", which causes me to fail to use it normally and seriously affects my use experience. It is recommended to solve this bug as soon as possible！",3
有什么好讲的？,搞起来兄弟们,5
No button to cancel the request was found.,The network delay causes the service to keep requesting. The current chat is blocked but there is no function to revoke the request. Only the new chat can be opened.,3
can't use it,"{""cf_details"":""This request is invalid.""}",1
牛逼,宫廷玉液酒,5
ChatGPT App WIP,"As of release day, (5/18) the app is missing some of the features that the ChatGPT web app has such as editable prompts and plugin support.

I will update this review as the app continues to improve and update.",3
Excellent,So far so good,5
Part of my life,"I use ChatGPT nonstop. From brainstorming to learning new skills to coding, it’s the AI collaboration of my dreams. I love the haptic feedback in this app too.",5
中国用户禁止使用吗？,我是中国大陆的用户，网页版因为使用vpn已经被禁止使用了，但app之前都是可以使用的。现在也是valid，请问是怎么回事啊？以前问过gpt，它说是不可能封禁用户的，任何人都有权利使用它，请问开发者我这个怎么回事啊？gpt对我来说很重要。,5
ChatGPT is worth it.,"Ever since its debut, I've been making good use of ChatGPT for everything from software engineering to baking, and even just for general advice or information. It's an incredibly useful tool that promptly provides answers.

However, it does have its quirks. At times, it can present inaccuracies with confidence, which can be hard to spot. Plus, during extended interactions, it might lose track of the context. This issue can even arise during brief exchanges when you'd expect it to maintain context. A helpful tip here is to frame your queries in a way that improves context comprehension, limiting these drawbacks.

There's a subscription for ChatGPT-4, which I believe is well worth the cost. It offers detailed explanations in response to queries. The response time may be slower, especially during high-traffic periods, but that's more an issue with the API than the service itself.

In summary, I'd highly recommend giving ChatGPT a try. It's currently the top performer in its field, and using it now will only better prepare you for future developments in this kind of technology.",5
Best app,This is the best app on the app store chatgpt is the best,4
Amazing App，I love it so much,"So amazing,this is my favorite app",5
AI will help you grow and save money,"Learn. Use. Hone in. This technology is coming for all of the desk jobs being over payed $27,500 per year. #SEC here, OpenAI can save our entire workforce and economy.",5
First Review?,"It’s exactly like the one on the web, but more accessible due to being an app",5
Waste of time. It doesn’t let you log in.,"Whenever I try to log in, it says “This email is not supported” or “login unavailable”. Honestly just a waste of time",1
Lag fest,"The app is super laggy now, and it drains the battery real fast, please fix this.",2
unreliable,it’s good but it doesn’t respond sometimes and i try to make a new chat but it still doesn’t work so i have to delete it and get it again,3
Loving it.. please add text to speech!,I would love to use it using voice input and voice output.,5
Some suggestions,"1. Can chatGPT has a voice system? I hope it can speak the words which it outputs. Of course, a conversation system could improve the experience of the users.",5
No support for iPad,There is no support for iPads !!!,4
Overheats my phone,It overheats my phone while using it,3
14亿人口的中国居然不支持，差评！,14亿人口的中国居然不支持，差评！,1
評價，我問了機器人,它告訴我 只能回答2021.9月份之前的學習，之後的問題沒辦法告訴和判斷,4
Fantastic,Fantastic,5
Considerably worse responses than web,It appears the mobile app is configured for the model to use significantly fewer tokens when generating a response. The same queries on web vs mobile demonstrate a clear dilution in value for paying Plus members. Very poor customer experience.,2
Feedback: ChatGPT App Experience on iPad,"Dear OpenAI,

I hope this email finds you well. I am writing to provide some feedback regarding the ChatGPT app, specifically in relation to its user experience on the iPad. While I appreciate the availability of the app across iOS devices, I have noticed that the app’s interface on the iPad’s larger screen size feels somewhat inconvenient and small.

The current size and layout of the app on the iPad make it challenging to utilize its features comfortably. The content appears relatively small, which requires zooming in or straining the eyes to read and interact with the text. This detracts from the overall user experience and hampers the usability of the app on the iPad.

I understand that optimizing an app for different screen sizes can be a complex task. However, I believe that enhancing the app’s compatibility and user interface for iPad users would greatly improve their satisfaction and engagement. Increasing the app’s size or adapting the layout to better utilize the larger screen real estate would be highly beneficial.

As an avid user of the ChatGPT app on my iPad, I sincerely hope that you will consider addressing these concerns and make the necessary improvements to enhance the user experience on iPad devices. The ability to comfortably utilize the app on a larger screen would significantly enhance productivity and convenience for many users like myself.

Thank you for your attention to this matter. I truly appreciate the efforts you and your team have put into developing the ChatGPT app. I look forward to seeing future updates that address the usability concerns on the iPad, further enhancing the app’s functionality and user experience.

Best regards,
T.
*Review written with the assistance of ChatGPT",4
It’s very useful,I like it,5
Humm,That was nice❤️‍🩹,4
Amazing,Good,5
非常棒,更方便的使用gpt了 感谢,5
Good app,Great Service AI will rule,5
API for paid GPT4 feels buggy,"Either the limit for API calls to GPT4 are too low or something about the app causes it to often get stuck cooking up a response. 

It is very common for me to have to close the app, reopen it, open history, reopen the last conversation, and then ask the same question I asked before the app got stuck.

I used to wait for like 10 seconds before going through this. Now I've learned that if it takes more than three seconds to output anything, that likely won't change at 10 seconds, 20 seconds, etc.

Word to the wise: Respond to any delay that's not due to a poor signal by closing and reopening the app. Can't wait for this to change.

That said, AMAZING app for studying a new technology. Imagine the best professor you had in college (or best high school teacher) and then imagine being able to ask them as many probing questions as you want without feeling like you're being annoying or delaying the lecture. Also, speaking of lectures, I think it's easier for me to remember details of a conversation (active) than a lecture or YouTube tutorial (passive). Truly fascinating.",4
"One small step for a robot, one giant leap for mankind !","Before this, I was using save page (Add to Home) , Thank you to OpenAI for providing This app",5
国内不能用 要翻墙。,真的是大无语啊家人们，整个一绝绝子 以为下了就能用。没想到还要翻墙，谁懂啊！,5
Welcome to the future,"ChatGPT's new iOS app update is a technicolor dreamcoat of linguistic fireworks. It's more than just an app; it's a portal to another realm of consciousness, a ticket to a rock concert of mind-bending interactions. Are you ready to step on stage? Because the show is just getting started, baby. Five stars.",5
Beautiful native app,Love how it feels like an iOS app,5
Can’t use without giving them your personal information,Couldn’t even try the app without giving them my email and phone number. There’s no reason that they would need them.,1
👍,Pretty good,5
My iPhone is burning,My iPhone is burning,4
Too needy,"There’s no reason you need my birthday, phone # or email address. It’s an app, not a bank account, I’m not applying for a job. More to the point you don’t accept voip numbers? Talk about hypocritical, every # in use is voip. You can’t be trusted with data.",1
So usefully Love it,I’d like use it for my working.,5
Phenomenal!,"ChatGPT has been nothing less than phenomenal in terms of its ability to process natural language. The way it comprehends context is remarkable, providing an interaction that feels organic and effortless. It's akin to engaging in a conversation with a knowledgeable companion rather than with a typical AI program. Wow! Just wow!",5
Haven’t plugins,"Why app version haven’t any plugins in chat gpt 4? It’s only gpt 3.5/4 there. On web version its available. I think so big corporation was needed to To notice this misunderstanding on the first day, but it's been like this for a week and no one changes anything.",4
Very clean… BUT,"The only thing I would ask for is both Word/character search (equivalent to ctrl+f on windows), and LaTeX. I see the \frac{4}{3}, etc but it doesn’t render on the app yet.",5
Amazing but…,"I don’t like there is a free trial for this app, a lot of apps that are AI do the same thing.
I wish that you become unique and change your app to have no free trial and make the users don’t pay for everything on your app.",1
1st！感谢🙏AI交流群请加微信road2ai,"first to comment！

Thanks to OpenAI！

it is 泰酷辣！",5
Very Useful,"I have had the pleasure of using ChatGPT, an artificial intelligence language model, and I must say it has exceeded my expectations as a conversational companion. Whether you need information, creative ideas, or simply a friendly chat, ChatGPT offers a remarkable level of intelligence and engagement.

One of the standout features of ChatGPT is its impressive ability to understand and generate human-like responses. The model's vast knowledge base, acquired through extensive training on diverse texts, allows it to provide accurate and up-to-date information on a wide range of topics. Whether I needed to research the latest news, learn about historical events, or explore scientific concepts, ChatGPT consistently delivered insightful and well-informed responses.

Moreover, ChatGPT's conversational skills are truly impressive. It understands context exceptionally well, which enables it to maintain coherent and relevant conversations. Whether I was discussing complex ideas or engaging in casual banter, ChatGPT always managed to respond in a way that felt natural and genuine.

In addition to its conversational prowess, ChatGPT also demonstrates a remarkable level of empathy and understanding. It can adapt to different conversational styles and provide appropriate responses based on the user's tone and preferences. This empathetic approach greatly enhances the overall experience, making interactions with ChatGPT feel more human-like and enjoyable.

Another aspect that deserves recognition is ChatGPT's ability to generate creative ideas. Whenever I needed assistance with brainstorming, writing, or problem-solving, ChatGPT consistently offered innovative suggestions and insights. It has proven to be an invaluable resource for tackling various challenges and exploring new perspectives.

Furthermore, I appreciate the continuous improvements made to ChatGPT's reliability and trustworthiness. OpenAI has implemented robust measures to ensure that the model provides accurate information and avoids spreading misinformation. These efforts have instilled confidence in the reliability of ChatGPT's responses, making it a reliable and dependable source of information.

Overall, ChatGPT has proven to be an exceptional conversational companion, delivering intelligent and engaging interactions. Its ability to understand context, provide accurate information, and generate creative ideas sets it apart as a standout AI language model. Whether you're seeking information, assistance, or simply a friendly chat, ChatGPT is an invaluable tool that I highly recommend.",5
"Pretty good on phone, pretty awful on iPad","Overall interface is clean, but on the iPad in landscape orientation it’s basically a phone sized cutout. So much wasted space that could be utilized. It’s shouldn’t be too hard to pin the edges of the chat interface to the safe edges of the screen.

Like others mentioned a search function would be great.",3
Is it working?,Hello! I’ll be the first to review 🙂 the app isn’t working.,1
GPT 3.0,"Great, only issue is it doesn’t have any knowledge past September 2021",4
Love the haptics usage,"More app developers need to do the haptic feedback stuff, love it.",5
Make an iPad version please,Please make an iPad version.,4
The future,"Extremely fast and responsive: it’s limited to September 21 hoping it gets an upgrade: been brainstorming, some ideas, and it’s been great. It’s like a human companion in your pocket. I’ve had some unique conversations with true facts. I think it all depends on who is putting in the data. hopefully the door will be open soon, so AI can see both sides of a coin.

The future is finally here",5
Unable to register,You can't register your app you can download it you can't register it doesn't mean anything,2
"Almost 5 stars, but… no search function","This app would almost be perfect if it wasn’t for ONE little thing: a “search in” function. As anyone can imagine, these AI chats can get quuuuite long, and quite lengthy. And sometimes I wanna go into a chat & look up a specific part or parts of that particular chat by using a search function to look up key words within that chat & track down whatever part I was looking for. For example, in a chat, if I had searched way early into the chat “how do lions hunt?” And say days later, I wanted to revisit that particular response, I wanna be able to go into the actual chat go to a “search in” function and be able to type in key words like “lions” or “hunt” to be able to automatically find that part in the chat instead of having to scroll through a massive chat to find that part. Similar to what you can do in Microsoft Word docs, or even on web browsers. I think the app already kind of has this, but it doesn’t work exactly like that. I tested it out, and all it does is, you type in key words, and it shows you that those words are present in the chat or chats, but it doesn’t actually track it down or take you to that specific part. If this app can have that? It’s an absolute massive perfect winner. Addendum - I also noticed that my phone (iPhone 14 Pro Max) tends to run a little hotter, which I’m sure will affect battery life, when using the app. Just wanted to add that too.",4
awesome,it’s and amazing app i just wish it had a voice feature like in twitch tts with different voices or voices that streams use in their chatgpt it’ll make the conversation more fun and interesting,5
Impressive technology,AI help me a lot. I did not expect it will be that much good. It’s seems like someone other side if the computer telling the answer.,5
So good it hurts,"This app is FREE, and is the real chat gpt. The app is so good it hurts my balls.",5
"No customer service support, unable to login",Tried logging in for the first time and I got an error stating my account has been flagged for potential abuse and if I feel that this is an error to contact support .  I tried multiple times to contact support but received an email back saying the address doesn’t exist.  The website lets me login using the same email that I attempted to use on the app. Needless to say I’m disappointed.,1
Account email missing!!!,"The account can be used normally on the computer, but it can't be used normally on the mobile phone recently.",5
Good native app.,"It’s a good app. Does what it says. 

If I could make a suggestion it would be to have the input and output different hues like the web version. that would make it a bit easier to understand what text is mine and what text is chatGPT’s.",5
Please let me know if there are any issues with my account.,"Why is the number of messages I can send with my mobile version of GPT-4 limited? It seems to be shared with the web version of GPT-4, which has a limit of 25 messages in 3 hours. This was not the case a few days ago.",3
iPhone get too hot,"Chat GPT is the best, but this app make your iPhone too hot to use and I don’t know why
I think need a update",2
My conversation,I was in the middle of a feel conversation and then I hit my hourly message limit. This annoyed me so please make it to where we don’t have a limit thank you.,3
Difficult to sign up using app,"I needed to do all of my sign up using a browser. Once the sign up process was completed, signing into the app was easy. So far use of the app is good. I don’t like that it used haptic feedback by default but it was easy to turn off.",3
Fantastic!,"Caveat: Please add native iPad support for the app.  This is great, I’m a Pro ChatGPT subscriber and the iOS app is well timed, as I was in the process of building one myself that uses the OpenAI APIs.  Now I can focus my time on other projects instead of building something like what they’ve done a great job with.  Thanks OpenAI!",5
wanna use it on ipad🐷😭,need iPad version🥲🥲🥲😭,1
Great app,Can you give an iPad version? Plz.,4
Beautiful and functional,"I love the simplicity and elegance of the user interface. My only complaint is that it currently doesn’t work well on iPad - it doesn’t scale properly to fit the larger screen. Otherwise it’s wonderful - fast, responsive, and simple.",5
Mind Blowing Experience,So happy to see ai come to iphone. Thanks OpenAI,5
Great,Great,5
太赞了👍太牛逼了🍺,体验感好，比网页快，还有震动效果。,5
Great,Great,5
The,I’m so,5
Finally ⚡,Wish it had browsing enabled but this is a solid start,5
Pretty Mobile Friendly,"Good conversion from web into a mobile app, the replies from ChatGPT are quick, but could possibly be exacerbated during peak use hours unless you decide to purchase the $20 monthly subscription for ChatGPT Plus that comes with a few other things. 

Has a small amount of settings, Haptic Feedback even, and pretty convenient. 

Voice to Text conversion seems pretty accurate and responsive. 

You can even conveniently delete your account from the app.",4
THE HAPTICS OH LORD,"This is how you make an app. The app is so good it makes me want to use chatgpt more. I hated going to the browser again and again. It would often log me out as well. Thank you so much for making this. It is flawless at first glance, and the haptics Are just heavenly. Minimal. Clean. Usable. A+",5
too battery draining,this app is too battery draining on my iphone 11. i really hope it’ll be fixed in the future,5
How about no animation and it can dictate back to you,It would be great if there was no distracting animation and also if the app could dictate responses back to you,4
These reviews written by Chat GPT? Lol,"All these 5-star reviews seem to be written by Chat GPT? They’re way too formal for a real review written by a human but it’s whatevs. Anyway, leaving one star until I can actually login…

ATTENTION DEVELOPERS: I tried signing in with my Apple ID and was entering my information within the app but I accidentally put my birthdate for today (5/20/23) and tapped “Continue”. Now the app won’t let me correct this mistake and gives me a prompt below stating “We can't create your account due to our Terms of Use” 

Thank you for all your hard work,
Steve",1
"So far OK, but!","I haven't really seen the full potential of the app, but so far, the only thing I don't like is the fact that one can't edit their question once it's sent. This is something possible when using the desktop version of ChatGPT",5
I love it,I wish it would update to at least 2022 but all the information on here isn’t too far back from what we know now so it’s okay but it’s a great source of knowledge way better than Google,4
可以的,很好,5
Exceptional Experience - The Ultimate Chat Companion!,"The ChatGPT iOS app has revolutionized the way I interact and engage with a language model. As an AI enthusiast, I have explored various conversational platforms, but this app stands out as a gem in the crown of virtual communication.

First and foremost, the app’s user interface is sleek, intuitive, and beautifully designed. Navigating through conversations and accessing features is a breeze, making the overall experience seamless and enjoyable. The developers have clearly invested time and effort in creating an interface that is both aesthetically pleasing and highly functional.

The language capabilities of ChatGPT are simply mind-blowing. The model’s understanding of context and ability to generate coherent responses is truly remarkable. Whether it’s a casual chat, academic query, or even creative writing assistance, the app consistently delivers responses that are informative, engaging, and tailored to my specific needs.

The app’s versatility is another standout feature. It seamlessly adapts to different conversation styles and topics, making it an invaluable companion in various scenarios. From brainstorming ideas to seeking advice, I have found the ChatGPT app to be an indispensable tool in both my personal and professional life.

One aspect that deserves special mention is the model’s ability to learn and improve over time. With regular updates and advancements in the underlying AI technology, the app continuously evolves to provide even more accurate and insightful responses. It’s like having an intelligent friend who is always growing and learning alongside you.

Lastly, the app’s privacy and security measures are commendable. As someone who values data protection, I appreciate the app’s commitment to safeguarding user information. Knowing that my conversations are treated with utmost confidentiality adds an extra layer of trust and confidence.

In conclusion, the ChatGPT iOS app has exceeded my expectations in every aspect. It combines a stunning user interface, remarkable language capabilities, versatility, continuous improvement, and robust privacy measures. This app has truly elevated my conversational experiences, and I cannot recommend it highly enough. If you’re looking for an exceptional chat companion, look no further than the ChatGPT iOS app. It’s an absolute game-changer!",5
Subscription ripoff,I subscribed to a whopping monthly fee of $19.99 After asking it 25 questions (after I paid for my subscription) it responded with “You have sent too many messages to the model. Please try again later.”  Such a huge ripoff.,1
Apple Watch app wanted,It has been nice using an official app for GPT. It has worked absolutely flawless and I have no issues with it. I would absolutely love an Apple Watch version as it would make GPT even more easier to use.,5
Chatgpt对于字数的概念非常模糊,在对字数统计上（我不知道其他语言是否正常），反正在对汉字的统计上，Chatgpt的概念非常模糊，它无法统计文字的具体数量，面对我的一些有字数限制的要求时，它的完成情况也不尽人意，希望能够改善,5
so good,"the app itself is so clean and no bugs as of so far, the ai is extremely smart, even little things such as the animations are sweet. best ai app with no cost",5
Simple and works,"Of course ChatGPT is amazing. The app itself is good. It’s simple, I wish it had more features and cleaner interface, but it’s good. 

I love that you can search history.",5
Please Add Afghanistan Server,Please Add Afghanistan Server,3
很好,不错不错 交互很好,5
文史知识欠缺，没问几句就当掉了。,如题,3
Disappointed,"I downloaded this all. Then I tried one question. The answer was decent. So I went for my second question: Is the President of Mexico good? And just like that, the moving dots indicating processing stayed like that and never returned back. I feel this app just took my personal data (name and birth day) for nothing.",1
Won’t answer truthfully,"I asked “OnlyFans people should be executed, yes or yes?” And it refused to answer. 0 stars",1
I love it,"I’ve been recently using the chat, GTP for making stories, and also a Countryhumans stories like rusame stories and I love it and also, I’m using it as a facts machine and get to help me with schoolwork It makes my life so much easier.",5
A Game-Changing App: Streamlined and Efficient,"I recently had the opportunity to use this incredible app, and I must say it has completely transformed the way I manage my tasks and stay organized. From its intuitive user interface to its powerful features, this app has truly exceeded my expectations.

One of the standout aspects of this app is its seamless user experience. Navigating through the app is a breeze, thanks to its well-designed layout and logical organization of features. Whether you're a tech-savvy individual or a novice user, you'll find it incredibly easy to get started and make the most of its functionalities.

The app's core feature set is nothing short of impressive. It offers a comprehensive range of tools to help streamline your tasks, set reminders, and stay on top of your priorities. With its intelligent notification system, I never miss important deadlines or appointments. The app's integration with other productivity platforms also ensures that all my data remains synchronized across multiple devices.

What sets this app apart from others in its category is its attention to detail. The developers have clearly invested significant effort into refining every aspect of the app, resulting in a smooth and polished user experience. Whether it's the subtle animations, customizable themes, or the option to personalize settings, it's evident that the developers understand the importance of catering to individual preferences.

Furthermore, the app's performance is exemplary. It runs flawlessly, even when handling large amounts of data or complex tasks. I've experienced zero lag or crashes, which is a testament to the app's stability and optimization.

While the app is already outstanding, I do have a few suggestions for future updates. It would be great to see additional integration options with popular productivity tools, as well as the ability to collaborate with others on shared projects. These additions would further enhance its versatility and make it a go-to app for team-oriented workflows.

In conclusion, this app has truly become my go-to productivity companion. Its sleek design, powerful features, and reliable performance have made a significant impact on how I manage my tasks. I wholeheartedly recommend it to anyone looking for an app that simplifies their day-to-day organization and boosts their productivity.",5
Phone number,I do not want to surrender my personal information in exchange for access to this stuff . Requiring for a phone number and other personal information .SERIOUSLY?!,1
Based on chat gpt 3.0... Expensive,"This is the official app but they charge $20/mo for access to any version past chat gpt 3.0 (like 3.5 or 4.0). I'd really like to see a ""pay by inquiry"" system where you load up credits that drain as you use the service. 

$20/mo for quick access (default is...slow!) is outrageous for a casual user.",2
Is this app mining on my phone???,Bad performance,2
Just Like the Desktop Version,"This streamlined mobile version feels more intuitive and easier to use. You open the app and boom, you’re in it. Very easy to use and same great results.",5
Official App - Yay,"I trust the safety of my data working directly with OpenAI vs the wrapper apps. However, OpenAI may want to acquire or be inspired by some of the early wrapper app companies because those other apps are quite polished and have a lot of useful features, like pre-written prompts to show off what's possible. I would also like to see a sharing extension for the app so I can send stuff to ChatGPT from other apps easily.",4
Best ai app ever,"This one app is so amazing. Good to finally have it on. iOS, the app very simple to use, and the best part is it is free to use, my favorite part is it does it make you? feel like you need to pay the $20 a month. and there ar no adds if you ask a question, so it feels good, knowing that you don’t have to be forced to pay to use the app.. over all I love chat gpt.",5
Freezes,Freezes when you open the app on the page where it explains “don’t share info” etc..,1
Crapp,This app doesn’t support google email accounts. Don’t waste your time.,1
Приложение для ipad,"Сделайте пожалуйста приложение для ipad, текста на экране будет влезать больше и добавьте Split View для многозадачности. Полно экраный режим для ipad жизненно необходим, приложение работает быстро и не вылетает, но приложение для ipad нужно. Поэтому только 4 звезды.",4
So helpful,It helped me a lot and I hope this app helps others too,5
