House_Size,House_Price,Num_Bedrooms,Num_Bathrooms
2186,2457014,6,1
2759,1929929,3,1
3187,1625994,9,2
2093,1323586,10,1
190,337025,7,1
911,1215478,5,3
1479,2497957,6,5
729,2227060,10,2
3885,645363,3,1
3241,1652711,8,3
1627,1725705,10,5
2773,1638514,5,4
3606,1216156,3,3
181,2427373,6,4
1056,1556653,5,5
4150,613641,3,4
1286,1699348,2,3
3529,1649552,7,5
1149,907539,7,4
2759,1746840,9,4
337,1957524,6,4
1807,1443886,2,4
674,1648659,6,1
2559,670696,10,4
831,615861,4,2
868,1275349,6,2
1956,2729451,9,2
534,2184427,10,4
1893,1011936,9,5
2631,2639144,9,5
2290,804905,7,2
2254,1868895,7,3
4045,2704134,8,3
2321,280913,9,1
3857,2535174,4,4
2675,1022952,4,1
954,1786587,3,4
2094,2318605,4,2
739,1202624,10,3
3175,1098650,6,5
2598,1156616,8,5
3152,1613309,9,2
2155,2490761,2,1
3300,1938387,1,5
3771,963572,1,4
1194,1100960,9,3
3048,2199248,9,3
1774,814651,6,2
2690,1137393,7,2
4029,554131,8,3
2716,2007053,1,5
2279,2013626,3,1
207,798307,9,4
4048,421862,3,2
3864,776190,3,5
994,2377423,4,3
1858,318528,7,2
750,1332996,9,2
2456,1661809,6,4
4124,421559,10,1
527,579122,7,1
1986,749437,7,1
2746,2685865,9,3
2917,136807,7,1
1015,592766,10,2
3956,1197492,3,2
3828,1691757,8,5
671,2052233,3,2
1416,241613,5,3
3002,2061298,7,1
1408,782155,10,1
2352,1214691,2,1
3055,1044585,8,4
1481,717846,2,4
820,1109983,6,1
848,2411710,3,4
1475,2442278,2,3
186,2008770,1,5
3694,813335,8,3
1009,915433,8,5
3071,1958112,1,2
3182,508873,3,2
431,1974078,6,5
1477,1245498,9,5
3381,2701414,3,4
2699,1963644,3,1
2845,157633,8,1
2022,798191,1,4
1083,1443241,1,1
474,751718,8,1
1341,611183,6,4
166,2161141,6,1
2701,2683314,6,1
2921,1851798,9,4
1238,2086324,2,3
3446,1226477,3,3
1457,1865062,4,3
2839,1412359,5,1
2053,1953426,1,3
460,377434,3,4
414,1593505,8,4
3040,2221610,9,2
829,1535121,5,4
2593,1175185,9,3
2451,172568,8,2
3669,971592,1,4
1705,2330318,5,5
2480,1456134,6,2
2925,887770,1,3
1017,2571535,9,5
455,2353571,10,4
690,2217163,7,3
1879,682727,3,5
3619,946477,2,2
2468,1610181,9,3
556,159332,8,3
3592,401617,4,4
2227,749053,5,2
3633,2503638,4,4
2108,582311,1,5
2406,1372233,2,4
1175,206304,10,1
1738,2337012,10,3
175,2309607,7,4
172,1535090,8,4
906,2686031,8,2
2097,224189,3,2
4155,2353058,7,1
1600,2402868,2,4
3145,1708563,5,3
224,2277883,1,5
359,2319289,8,4
2005,635190,4,1
4108,1117666,4,2
3586,970814,10,2
623,1702316,6,5
1926,1673169,4,5
2163,2324267,6,4
396,1216073,7,2
3943,2552931,1,4
561,578802,7,4
1130,1529454,8,3
1436,2405488,8,2
543,1122766,10,3
3656,1454612,6,4
4091,925530,2,4
1791,2366414,8,3
1627,2479722,4,2
765,2566391,1,1
3363,1000123,9,4
623,1287157,7,5
1282,1786657,2,5
189,2307220,4,5
2400,1312073,4,5
3363,2194206,5,2
2070,2794849,8,4
1640,707179,6,1
1322,616267,2,3
560,245391,7,2
3378,901200,1,4
1478,2655649,1,5
2640,1387615,3,2
722,118101,6,5
1403,1725314,7,3
2364,2433640,8,2
636,1190071,8,2
178,425813,2,3
2573,1842077,7,1
3521,1873736,6,2
2297,1764281,9,4
3897,1852444,1,2
2037,1101400,6,1
1636,1749520,1,5
251,1856718,8,5
1771,645339,1,4
2841,679680,6,4
3231,767850,9,2
3134,1582986,5,3
2867,539476,1,1
3094,672161,1,4
1506,519159,9,4
2954,536486,6,2
1205,1180154,8,4
2054,2760748,5,5
3294,128916,1,2
2414,842742,2,2
3603,943423,6,1
1468,2541389,3,1
2557,782957,5,5
3973,1293069,10,4
3829,2044512,2,4
780,2266623,9,5
502,2464129,9,1
1089,1327362,9,4
1060,1670864,5,3
2021,461846,5,4
4144,266178,6,3
3376,672615,2,2
2378,2729953,5,2
3243,1831311,3,2
2298,724609,9,5
1439,720085,9,5
443,1935840,6,3
3368,374507,6,4
1467,162212,4,3
3277,170198,9,2
1248,745440,3,3
506,2596713,1,4
977,743438,2,3
3881,1044798,8,3
2541,1693645,1,2
2954,118148,6,3
3319,625896,6,2
1933,1558407,10,4
1036,568656,3,2
1093,394278,4,3
3488,1980747,10,2
1573,944363,4,5
3266,682902,4,5
2254,744844,7,1
1007,1783611,6,4
3956,893524,8,4
1688,915061,5,5
559,1051929,10,5
2931,2117620,7,1
1710,875975,3,4
873,612216,2,1
1747,2565134,6,5
2300,2764999,9,1
2800,2248077,1,3
1730,939473,4,4
902,1392551,7,4
1911,1792000,1,3
458,2089359,10,3
2101,1537168,2,4
2301,2321370,10,3
3557,2663447,8,5
939,444775,9,5
1624,604050,5,1
2856,2653418,2,3
1643,2501139,9,3
2394,1945317,3,5
565,196673,2,2
707,2452843,5,5
784,872214,3,1
2672,462761,1,3
1976,1294764,4,1
1964,761726,3,4
3310,791961,7,1
3238,1190731,3,3
3126,180098,3,5
3055,939115,3,4
2873,723786,4,3
2956,1470312,2,4
922,168537,10,1
2421,218429,1,2
1457,230073,7,3
2215,600732,4,5
1765,2527662,3,2
3515,138979,9,3
844,2226675,3,3
4109,2093941,9,4
3082,384087,9,4
188,2342710,8,5
4070,1721535,10,2
1479,2449467,3,4
1838,1319337,8,1
3782,2454583,2,4
2115,1679954,5,4
1100,325174,2,5
1450,2716527,10,1
1842,2631380,2,5
2657,1973238,1,1
1348,468687,8,2
1626,1306383,6,2
2263,1039212,6,5
2449,172614,9,4
1417,1168891,1,1
593,1209234,2,4
1653,2554765,10,5
3953,2669634,9,2
292,2345834,8,1
1988,2618870,6,2
3466,2222294,10,3
3955,2537989,2,1
941,1597681,10,2
2976,2795503,6,1
250,214722,8,4
1026,668849,7,1
2158,877845,2,1
2121,324888,7,1
1633,378895,8,4
3663,511740,5,5
1509,111151,1,4
282,767703,9,5
885,2478966,1,4
1026,789871,5,4
3611,1501885,10,4
2210,2627715,8,4
4146,2553813,2,1
3313,2706236,1,1
4017,2186183,1,2
282,802385,5,5
1008,119105,2,4
3367,1706983,2,1
293,2043556,7,3
2273,2125262,9,5
4060,1762306,9,1
1102,2669692,1,2
2539,1444553,3,5
1597,1697682,1,4
2953,104068,6,3
1953,2242548,2,3
1160,2443824,1,2
906,2756468,2,4
2387,2247105,2,5
2993,684164,1,2
500,1110695,5,3
1020,528684,1,5
1066,805898,6,2
3267,1832763,4,1
2581,2262641,9,5
2850,2042922,8,1
3742,2734566,2,3
780,436391,4,2
3646,902399,9,1
254,1396990,9,3
2506,286631,6,1
1092,2256729,2,4
1288,973898,7,5
2008,1413511,9,1
465,1567488,5,4
360,1496631,4,3
1348,590084,1,2
2157,2657764,8,3
1627,774749,2,4
2922,2121323,9,2
2179,728512,6,1
2174,1505560,8,4
1443,881904,10,2
937,122735,5,1
3822,219295,7,5
1153,2498175,2,5
812,592384,7,4
3538,2256702,3,3
1903,484725,6,1
3121,1269351,7,3
1757,2442917,9,1
3419,1420556,10,1
748,2556946,5,5
1618,755306,3,1
852,2284810,8,5
2240,2496238,8,2
795,1578290,2,3
3933,2373670,9,1
210,2289218,6,4
1486,171520,1,1
4174,1938969,4,4
3593,1380589,3,4
499,2197422,1,3
2082,2007058,8,5
4017,2140180,7,2
3322,303276,7,1
2595,1790458,2,4
268,1142388,4,5
3363,1787999,9,4
3843,2195320,9,4
253,976509,3,3
3462,2300351,1,4
1906,1827587,5,4
1589,2462327,1,1
1583,1310061,2,5
2926,773369,1,4
614,192476,10,4
3585,1197274,1,1
2380,2263796,6,5
2010,442322,9,2
452,2757181,5,3
665,247939,10,4
3981,1266520,7,5
2619,1591696,9,4
1641,1575103,1,4
3255,354694,9,2
401,1183015,1,3
2577,1749614,6,3
3718,1714259,6,1
393,2193739,10,4
3174,412071,9,5
658,2004751,3,3
4120,2532793,9,1
517,1576553,3,4
3901,1505568,6,1
1840,1499673,7,4
2866,2337170,5,4
327,1504006,4,5
1539,1915586,1,5
3717,1857156,9,2
3993,1650482,4,3
2351,2620229,3,2
678,880158,2,2
1296,1609920,7,1
1683,2261187,1,2
3380,115007,9,1
1062,270164,1,4
3906,1854942,5,5
2956,2027084,4,4
2550,151863,10,5
2403,1857717,6,3
2777,1786755,7,1
3735,955283,6,1
3666,857935,10,3
1495,737517,6,3
3778,911835,7,5
2607,735561,7,1
3341,2683846,7,2
3262,1497877,1,3
893,781796,2,4
3906,1329024,5,1
2059,154827,1,3
2599,1849016,4,4
1479,1896442,4,5
1684,2496176,6,4
1352,2721211,7,2
1111,2346502,2,5
1893,2785858,9,4
1154,365459,9,1
986,985007,9,4
859,1300217,3,4
1520,1020919,8,3
921,1341710,10,4
1210,1078352,7,2
2376,1859396,9,4
1123,2199627,8,1
2582,275407,4,2
1313,1262921,3,5
1088,865239,4,4
1405,1709647,7,3
1347,1478083,8,4
2357,2086031,2,4
684,1551139,1,1
3257,2076391,7,2
3419,2530955,10,5
3804,1221931,3,3
2858,1017247,2,3
2583,576993,1,1
163,1290091,8,5
3329,308824,6,3
3064,2428341,5,2
714,2597338,9,5
2325,146443,6,1
1740,2333264,10,3
3057,1254550,3,2
3074,2583398,4,5
3172,2516517,6,2
3008,1426693,6,3
2094,134227,8,1
2321,629573,10,1
1231,1139201,6,1
1805,153387,8,1
3769,229030,8,2
2946,970572,8,5
3046,1919996,5,5
3866,1305877,6,1
3615,2642073,7,4
1712,1070349,4,5
3693,723560,5,1
4009,2034528,8,5
264,1055191,4,2
2513,674857,9,1
438,887726,9,3
2754,369069,5,4
215,1274786,3,4
3048,2436111,9,5
3691,2370131,10,2
1359,160924,8,3
2734,283430,9,1
4074,2464144,6,1
3139,368619,1,3
3935,1900504,10,3
237,2675239,1,2
4195,694241,4,5
2726,1239009,9,2
2548,130130,10,3
1983,2344934,5,2
3669,1125060,1,4
879,680291,9,3
3763,375085,4,4
884,930254,6,2
2420,1110163,3,1
3681,2388312,8,1
1054,1471990,3,2
266,2316804,6,2
4160,455808,9,2
673,2375871,8,5
866,1600381,1,5
4151,479664,2,2
3264,2555010,2,1
773,2082866,5,4
872,1669418,3,5
3231,390876,6,1
3346,2018355,8,4
3660,1999761,10,4
3315,2084614,5,2
3482,255857,9,5
1440,1628364,8,2
2223,1680153,2,4
2572,1956496,3,3
3809,808565,1,2
2549,2125138,9,3
1675,1309575,10,2
2822,2389033,7,4
1413,2110320,6,2
1176,844172,6,4
848,2325122,10,2
3492,495142,3,1
3538,971825,5,4
3589,996745,1,2
2318,1345406,5,2
1498,2280473,10,5
1018,1737764,2,3
247,882513,7,5
2471,2718436,2,3
2534,781398,4,4
168,2465811,5,3
2234,2789513,7,3
1772,1937947,3,2
873,956047,10,1
1953,542721,10,1
2156,2502391,8,2
3902,733183,6,2
2768,1151042,3,1
1372,705867,6,4
3396,2103743,3,3
3183,1154099,3,5
1793,1339781,6,3
2811,2328788,6,2
2604,1036161,10,4
2429,1002803,6,5
272,572072,5,2
1033,821516,8,1
773,2071015,9,3
4178,1407897,10,1
998,124899,6,3
3129,1847459,8,3
2208,1633122,7,2
3703,365415,9,2
3293,1982881,7,4
2804,943908,2,4
3831,1872263,5,4
3121,347896,9,4
210,339825,2,3
1901,1935517,3,1
2830,228806,7,5
1643,391202,1,4
1649,2237090,2,5
3899,1244846,4,2
2226,1976952,3,1
2376,1795282,8,3
3304,624296,3,4
3136,280475,6,5
3635,907990,5,3
2781,745468,3,1
2382,1489527,1,5
1022,310347,7,4
1581,2315499,1,1
1050,2266377,1,2
161,646923,1,3
1132,502770,5,4
1394,2573127,8,5
1988,700018,1,5
703,1049019,5,4
3592,1076476,5,1
3553,2765786,10,4
1857,2147640,3,4
2194,550087,4,3
1214,1753559,9,3
3438,1937737,5,1
585,355149,6,3
1654,1695686,3,2
1149,1232152,6,4
1144,1616764,8,2
778,2312900,1,3
673,2352395,4,2
3070,1377535,1,4
2351,1269806,7,4
2610,1627781,2,2
4154,1595355,4,5
2284,2274722,2,4
1452,2381983,1,3
4154,408484,5,2
429,128085,4,4
2579,934080,7,1
2003,2582179,8,5
2122,2490690,1,4
2335,1324458,5,4
2187,769728,6,4
3756,250762,2,3
1349,1245122,7,3
3604,1398026,5,5
716,2204994,6,2
802,1792609,2,2
3954,206585,1,5
1273,2652877,2,3
768,2730901,9,1
157,1682988,6,1
600,1472534,2,1
2653,1546271,7,1
2205,1403218,6,1
2312,2399367,9,3
3879,2796647,3,5
1121,1157098,8,1
1903,2644398,5,3
2738,1136779,8,2
4118,1279610,1,3
3473,1456462,1,3
2679,2416284,10,4
2481,2461313,5,2
3011,381704,3,3
370,1001835,2,2
703,1685072,8,3
3256,465649,9,4
3478,1011726,10,3
1516,1528733,6,1
2152,1441584,4,4
3432,2155856,6,1
1078,151816,10,1
405,2277674,10,5
3590,2297558,5,5
3919,627002,10,3
1909,1039195,2,5
1689,451513,3,2
296,1891034,9,2
2208,1689302,2,1
2412,444287,9,2
2013,926520,4,2
2128,2285442,5,3
364,965675,2,1
2524,966951,9,1
1208,2777647,6,4
729,2349549,9,3
932,1054080,8,4
1168,2120147,7,2
3608,281730,8,4
3690,957879,7,2
2224,1172069,8,5
3574,652584,7,5
609,2734678,8,1
3843,725038,1,4
2450,2796761,3,5
1404,100384,10,4
2211,980023,8,4
658,612750,3,3
1244,299161,7,4
1649,1465953,10,5
370,1858031,3,5
2399,2376113,6,4
2996,563764,7,2
1138,1678053,8,1
634,1415171,3,5
2758,1602252,4,5
4140,125089,2,3
3949,550341,5,5
2740,665982,4,1
159,2087271,6,4
162,1942787,6,1
3790,1990428,7,3
4021,2670500,8,5
2694,427564,1,5
3046,940749,9,1
3577,877080,4,1
973,2346545,7,4
839,2161578,1,1
2150,929188,1,3
1396,186508,5,1
240,840636,6,1
2555,564713,3,2
1542,1094150,6,4
1163,114055,1,4
212,171806,7,1
2217,2772054,7,5
1156,1222945,4,2
3431,2389387,9,4
3466,2545486,2,2
3476,1966059,9,3
2467,954272,4,2
1897,2050676,1,3
3240,846004,1,5
2449,1061569,8,1
2255,2547099,4,1
3999,2367879,3,5
462,1147051,4,5
1597,2531053,4,5
2428,864865,7,5
3332,938194,8,2
948,941323,3,2
2698,2344565,2,4
3044,2271172,7,2
2723,278347,8,3
2951,126522,6,1
170,250094,4,2
364,1625815,8,4
1391,813162,5,4
1078,1069083,7,5
654,2464582,5,5
1764,1751432,9,5
765,1702252,10,2
2821,1495080,3,2
1474,330261,2,5
4091,2141133,6,1
1701,2603609,6,4
3096,764638,10,1
1592,2702056,9,2
3614,719025,9,1
2045,164943,8,3
2641,2619051,4,1
1630,578395,9,5
3767,2615559,9,2
1551,1927625,10,4
1485,113796,2,5
3929,2539572,2,4
1298,1389773,8,1
3948,1955705,3,5
313,811299,4,4
3296,1377259,5,2
1059,1777369,7,4
204,1703162,10,1
3751,2668057,3,4
3894,1896679,10,3
3566,1993982,3,3
802,1164242,6,1
4125,1420423,8,3
3131,1710328,4,1
1888,1193529,10,5
2604,2292426,3,2
3293,2003066,3,1
1050,2454256,1,4
4117,2170063,7,3
3623,2729784,7,3
223,1919637,1,2
3426,1763203,7,2
157,2562814,8,1
3673,2039357,4,5
3519,1047841,5,4
2045,844504,4,3
1953,1433410,4,1
1214,650855,8,5
2969,1014587,7,4
2933,887453,7,5
916,2623984,3,4
283,471831,4,5
241,2360414,4,4
476,2080499,1,5
2624,1512417,8,5
2304,255594,2,1
1626,2697626,8,1
3608,588990,9,4
2645,1889383,10,1
3902,2451469,7,1
3355,462525,8,4
3722,2763082,10,4
1638,1502363,3,5
3491,1951589,3,5
1040,771284,7,1
736,762409,8,2
206,2608191,2,5
626,1555217,5,4
2820,1542683,3,5
241,990364,9,4
1885,2276780,7,5
2160,632668,5,2
3054,812096,7,4
3729,2061907,10,5
3855,146528,7,2
3458,1853817,8,3
3830,222664,3,2
1105,921772,8,1
3511,2615639,9,4
1867,807567,10,4
3652,1461576,2,1
3654,2212202,8,3
1838,200866,1,4
2701,1207431,3,1
3831,1926591,7,3
429,1813731,7,2
2860,2133783,3,1
480,445042,1,5
1159,2302733,10,2
2394,354319,2,5
1928,2370084,7,3
530,2343571,4,4
299,1154323,5,5
405,2432639,8,3
808,535442,7,3
1695,2077790,9,4
1572,677072,8,1
3221,2176022,9,1
2811,908765,8,3
1539,410191,10,3
2092,1874688,8,2
851,801583,7,5
2944,1954561,2,5
784,1483191,4,1
2353,2562118,10,1
2444,1070857,3,1
3895,2699854,9,4
3143,1957442,4,4
1890,1278902,6,4
2126,511856,7,4
4000,604093,2,2
2980,2499025,8,1
680,607131,1,1
933,380741,5,4
3119,1357996,8,1
2549,1375960,9,1
3090,1996689,8,5
2745,1633903,6,2
3098,124840,3,3
1418,888642,4,4
3376,575379,10,5
1925,834154,6,4
3703,1505229,9,4
1625,731984,9,1
1767,697459,1,1
155,2591249,1,4
405,1444182,10,1
2191,2308296,6,4
3840,841361,2,1
154,1945579,10,2
2787,1794251,1,5
3088,2788938,4,3
722,2173661,7,1
865,1079008,10,3
764,2067887,2,2
845,518847,6,3
2353,2484615,2,4
3925,455006,4,4
1922,325594,8,2
2604,711917,4,1
3570,2476519,7,2
3407,953167,6,3
3533,2042839,4,1
4182,1561794,3,1
4107,1058890,2,5
2020,2681174,7,3
1428,139592,1,5
3118,1522561,6,2
3242,626018,5,2
2150,1336851,6,5
3262,1371635,7,5
3290,910710,6,5
1601,804357,10,5
2846,1234422,7,5
1750,2066153,2,4
741,1442484,2,2
2833,2408921,1,3
608,875432,10,3
3312,879782,10,1
3006,2408817,7,2
1906,1789006,3,3
2686,1249305,8,2
3682,2131494,4,1
2643,1579721,10,4
2524,2035124,7,3
3427,2126576,3,5
3546,2352279,10,3
2724,2504621,10,1
929,911962,5,4
330,2440455,2,2
1682,2598944,6,4
383,2582598,8,2
3918,2583845,1,3
1405,409769,6,2
2165,161369,5,1
1804,503685,10,5
1538,629840,9,1
345,2602135,8,5
1977,2367156,10,3
4193,2210504,8,5
3354,1085055,8,2
3598,938476,1,2
625,507210,8,5
2007,272615,7,4
3539,2159607,5,4
2531,1992902,5,3
4065,1450872,8,4
3015,2417823,1,4
1182,1569401,6,5
3280,2524414,3,2
883,557023,7,5
993,1710486,3,4
1029,802944,10,1
1404,1185299,5,4
888,1553201,5,4
3064,1578180,5,5
999,1752656,10,2
2635,1609619,5,2
1356,357956,5,1
3366,259896,2,1
2860,893532,8,2
3218,716344,6,3
2640,1810203,4,5
595,2744128,8,2
383,2430150,2,5
1080,215091,2,2
785,1184353,8,2
499,1151131,9,1
1181,1429498,9,1
369,1286521,9,5
882,256196,10,5
2118,318944,1,2
3120,2655085,8,4
1234,1146299,9,1
3744,1560254,3,1
3642,1752016,7,2
3359,1871880,10,3
1277,1659022,4,2
2266,1168025,3,4
3925,1241932,2,2
908,1126934,7,1
974,2412288,9,5
659,1463930,2,1
1949,2305732,6,2
2289,2690424,10,5
2212,118478,9,2
3351,2401563,8,2
3277,1869759,6,2
2946,488905,4,1
634,666162,2,4
421,2457566,2,2
3661,1639311,6,4
3563,1610160,4,5
3884,190113,1,1
2098,799701,2,5
3131,1492132,4,1
4076,2396977,2,3
396,1936221,6,2
1839,2484148,1,4
1752,2616666,5,4
3714,1224275,9,4
356,1533967,4,2
3236,1735114,4,2
1545,221686,2,4
4057,2015607,10,4
738,2525358,6,4
3985,1868877,4,4
4187,720435,9,4
2033,977913,5,4
3046,1836341,8,1
1741,2156599,7,5
2541,1020882,1,2
4047,1571692,7,3
662,192542,8,1
1083,2661108,1,1
3912,2506245,5,1
251,493952,4,5
1082,2429600,4,1
2501,1927214,6,3
1332,2076384,4,4
3673,2636770,4,4
2798,1205013,1,2
905,1160300,9,4
2150,1359198,2,1
2524,705632,9,1
317,663416,2,1
2394,873493,4,4
2499,1323599,5,5
1572,154939,5,5
806,1345119,10,3
1067,1147243,9,1
1836,1845232,5,4
2408,1495516,4,5
1652,1082959,2,4
3645,2696311,6,2
2994,1505131,7,2
2591,2587388,10,3
4003,2088587,3,1
489,1926726,1,2
829,613656,2,3
3795,2331976,1,3
2674,2503050,5,1
3931,2378188,4,3
3319,118897,3,1
2073,1436304,6,5
2607,2377097,9,1
942,2632593,9,2
3859,507710,3,3
3116,209387,2,5
613,1999264,3,3
2442,2529742,1,2
3245,2512299,10,5
604,1940779,4,1
872,2749513,4,5
1257,2548539,6,3
1448,2591679,3,3
1330,2601243,8,3
233,1212005,4,3
944,257274,1,5
3629,2677447,10,5
1559,181263,8,1
2429,904838,10,1
3095,716814,10,1
1797,2217170,3,1
1053,1864198,5,2
1037,719552,9,4
743,2461298,8,2
2004,2649382,3,2
1000,647653,6,3
2318,559816,10,4
2108,926912,6,4
2684,2020715,3,3
2818,1498062,4,2
1446,768033,7,3
2007,317592,5,4
3764,580214,8,5
3505,2340179,9,5
4105,2666369,3,5
4028,2746626,3,2
2336,1815467,4,5
1783,733691,6,1
795,1597352,6,1
3363,1081841,5,4
3795,1178613,8,3
291,865293,5,3
2638,1076190,3,1
2475,2290697,1,3
259,2329140,4,5
1733,1876277,3,2
703,879271,10,1
3731,536022,3,3
1627,2301075,8,5
2834,1046486,9,1
2487,1733582,4,1
2444,2335714,3,5
563,1578673,1,3
3903,1199330,3,2
2435,2673082,2,1
853,1496944,2,1
1017,619599,7,4
2319,1744794,1,3
1989,1325724,4,2
576,336278,9,1
4165,1909531,10,5
163,144989,2,5
335,157208,3,5
611,2268662,10,2
950,2466915,10,4
1709,600568,6,1
2480,170134,6,1
4184,695885,10,5
1617,2597237,5,1
2587,2148836,6,5
1848,1425267,8,5
2150,1663465,8,4
1221,1049977,3,5
1739,1974584,4,3
3086,2588937,5,2
1408,2368465,10,2
1954,349449,5,1
4087,1044314,3,4
1644,2340909,5,5
2590,1186841,6,3
2845,802769,4,4
1458,116241,6,4
729,2541756,4,5
837,2765435,8,1
990,2361353,3,1
2837,2446295,8,2
494,2683526,1,3
1729,1548030,10,2
1676,2528252,10,2
1797,2138940,3,1
2348,350766,10,1
2068,2361554,9,3
684,831170,7,3
2173,939003,2,3
1260,1257161,4,3
3907,2112801,3,3
2828,1615478,4,1
2839,1116139,9,4
3544,110871,6,5
3082,2243712,5,1
4133,2778590,2,2
3698,2574139,10,2
1044,2099683,4,3
1632,230413,7,3
1905,1260254,1,2
2022,1723186,6,4
4027,2436219,9,4
739,1774804,1,3
1206,1393244,1,4
4075,1385303,7,5
3929,2374156,10,5
2742,487469,7,3
3777,408877,8,4
987,1846101,10,2
1872,1477077,6,1
3078,2093313,5,5
1822,1700663,6,4
248,161768,4,3
1281,2103952,4,4
3547,2307749,8,1
3085,235150,2,2
1749,1669740,9,3
252,1384448,10,1
2153,2038705,6,1
476,1522096,1,5
1220,1033347,5,3
2506,1517480,1,4
2054,1388658,4,1
1162,608884,9,4
2206,681903,7,1
258,822474,9,5
3738,2777742,2,1
1968,985726,8,1
1553,1845750,10,1
4044,902122,4,5
363,2516581,7,4
907,841343,4,1
1819,132598,3,1
1782,2292501,7,1
3918,1670574,5,1
1419,218897,10,5
745,778921,7,2
905,1377518,9,2
3150,2642828,1,5
524,875459,9,2
2384,1290698,7,2
1662,2277253,9,3
1085,1219931,10,5
2894,2211365,1,3
1634,2736542,4,1
3995,1667929,7,2
514,2167412,8,5
2886,1478025,6,2
2946,2638779,7,1
3832,517851,10,2
1871,2757492,1,5
3509,2708017,2,1
922,356489,7,2
3343,1722816,2,1
1246,950086,9,1
2147,817379,6,2
1699,699417,7,4
2345,1202233,9,1
1070,1488439,6,4
2955,1596468,6,1
2615,1944208,6,3
2687,1978677,7,2
1125,1952746,4,1
3410,359932,10,1
2504,943610,10,5
2605,2281124,1,3
456,907084,1,1
453,1445805,9,3
4196,2070446,4,1
1367,2707970,1,1
2675,734043,4,3
1466,2176973,6,2
345,665575,10,2
3147,1791978,5,3
2258,2571676,7,3
1476,354765,8,2
3294,1604367,4,4
1183,1248040,8,3
2690,536119,10,3
3017,1389713,8,5
859,143117,10,2
3473,2309133,5,2
3857,774588,3,1
4125,1333763,4,4
1007,2505533,1,4
3128,2610429,8,3
1953,2231317,7,1
1654,2206311,10,4
3918,2212513,1,4
2328,2617831,10,3
430,1012282,7,2
1194,2198762,7,1
605,850919,10,1
